hosts,vms,cloudlets,aco_time,aco_fitness,aco_cpu_util,aco_ram_util,aco_bw_util,aco_power,aco_cpu_mean,aco_cpu_std
100,50,100,8.49,0.934622,53376.26,2.40,2.43,35.89,5.97,13.61
100,50,100,7.59,0.906342,53725.74,3.40,3.42,36.06,7.09,14.31
100,50,100,7.31,0.910412,50392.80,3.39,3.42,36.07,7.14,13.70
100,50,100,8.63,0.909987,53359.05,3.41,3.44,35.99,6.58,14.20
100,50,100,7.82,0.910836,49796.05,2.37,2.39,36.08,7.22,13.48
100,50,80,7.90,1.106183,38404.18,4.36,4.38,35.80,5.33,11.58
100,50,80,8.33,1.086293,39027.11,4.26,4.28,35.86,5.71,11.08
100,50,80,8.39,1.100315,37983.69,3.25,3.28,35.81,5.39,10.81
100,50,80,7.58,1.108002,40774.30,3.30,3.32,35.84,5.62,11.27
100,50,80,8.45,1.086390,41199.84,4.27,4.29,35.79,5.25,11.20
100,50,60,7.48,1.310474,29036.88,9.23,9.25,35.65,4.36,8.65
100,50,60,9.76,1.282681,33301.56,10.23,10.25,35.62,4.10,9.07
100,50,60,7.82,1.288510,30736.27,10.23,10.24,35.58,3.86,8.66
100,50,60,7.26,1.326527,30948.58,9.24,9.26,35.62,4.15,9.02
100,50,60,7.45,1.300245,27985.28,9.19,9.21,35.66,4.39,8.56
