hosts,vms,cloudlets,pso_time,pso_fitness,pso_cpu_util,pso_ram_util,pso_bw_util,pso_power,pso_cpu_mean,pso_cpu_std
100,50,100,2.50,1.252959,49405.73,11.13,11.16,36.02,6.79,9.53
100,50,100,2.76,1.260990,46894.63,11.07,11.10,35.52,3.44,8.00
100,50,100,3.79,1.266263,37020.41,8.80,8.82,35.49,3.26,4.57
100,50,100,3.20,1.264210,39514.81,6.95,6.97,35.52,3.46,6.57
100,50,100,2.93,1.273071,43452.28,10.96,10.99,35.61,4.07,8.52
100,50,100,16.86,1.277159,8118.63,44.65,44.66,35.34,2.24,0.65
100,50,100,21.39,1.252194,6462.23,48.61,48.62,35.30,2.01,0.05
100,50,100,16.15,1.257469,8531.65,44.64,44.65,35.34,2.29,0.76
100,50,100,21.92,1.270686,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,2.95,1.054048,44850.50,10.05,10.07,35.54,3.58,7.96
100,50,100,21.92,1.001224,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.010680,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.038884,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.037746,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,2.72,1.044006,45963.21,8.13,8.15,35.61,4.04,7.80
100,50,100,21.92,0.973991,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.033488,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.071801,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,21.92,1.016657,6296.04,49.61,49.63,35.29,1.91,0.43
100,50,100,2.45,1.310108,51289.80,8.32,8.34,35.78,5.17,7.98
100,50,100,3.27,1.286539,38539.55,7.92,7.94,35.66,4.40,7.19
100,50,100,2.63,1.282233,46678.26,8.19,8.22,35.59,3.91,6.83
100,50,100,3.05,1.246686,42250.47,6.11,6.12,35.53,3.51,7.13
100,50,100,3.11,1.281335,40969.13,7.96,7.98,35.42,2.80,6.66
100,50,100,3.19,1.303498,40154.31,3.09,3.11,35.49,3.25,6.81
100,50,100,2.63,1.291040,48236.46,4.43,4.46,35.70,4.66,7.28
100,50,100,2.63,1.245642,46887.26,5.30,5.33,35.79,5.30,7.58
100,50,100,3.15,1.256019,44104.07,5.19,5.21,35.49,3.26,7.31
100,50,100,3.19,1.267075,40875.23,4.10,4.12,35.43,2.88,7.36
100,50,100,3.51,1.016454,36653.41,12.67,12.69,35.60,4.01,5.96
100,50,100,3.32,0.949121,38080.61,15.59,15.61,35.72,4.78,6.80
100,50,100,3.39,1.027058,37539.15,12.68,12.70,35.50,3.35,7.10
100,50,100,2.90,1.021261,43728.72,12.89,12.90,35.58,3.86,8.76
100,50,100,2.84,0.976898,44409.59,14.80,14.82,35.60,4.01,8.07
100,50,100,3.13,1.272843,42808.00,4.16,4.19,35.53,3.53,7.19
100,50,100,2.96,1.261997,42354.77,4.17,4.20,35.58,3.86,8.22
100,50,100,2.64,1.277076,47188.56,4.35,4.38,35.66,4.40,7.05
100,50,100,2.70,1.286556,47547.19,3.41,3.43,35.79,5.26,9.00
