hosts,vms,cloudlets,ga_time,csa_time,fwa_time,woa_time,ga_fitness,csa_fitness,fwa_fitness,woa_fitness,ga_cpu_util,csa_cpu_util,fwa_cpu_util,woa_cpu_util,ga_ram_util,csa_ram_util,fwa_ram_util,woa_ram_util,ga_bw_util,csa_bw_util,fwa_bw_util,woa_bw_util,ga_power,csa_power,fwa_power,woa_power,ga_cpu_mean,csa_cpu_mean,fwa_cpu_mean,woa_cpu_mean,ga_cpu_std,csa_cpu_std,fwa_cpu_std,woa_cpu_std
65,8,15,8.59,66.54,66.54,8.08,85.153327,85.505608,85.505608,72.208211,6222.56,4161.21,4161.21,6807.46,2.07,6.64,6.64,3.97,2.07,6.64,6.64,3.97,22.68,24.05,24.05,22.88,7.76,14.50,14.50,9.84,21.86,7.34,7.34,21.55
65,8,15,5.82,319.89,320.36,7.35,104.407831,104.722429,104.723209,104.329147,5149.40,5504.15,5536.20,5094.15,2.97,5.59,6.53,3.92,2.97,5.59,6.53,3.92,26.81,27.31,27.40,27.00,4.87,13.24,13.94,5.90,15.44,5.72,4.07,16.08
65,8,15,12.00,15.73,16.49,8.87,84.493129,85.344675,85.350827,63.815834,3421.33,3523.94,3455.52,4936.69,3.02,6.86,6.87,3.97,3.02,6.85,6.87,3.97,22.28,22.92,22.79,22.71,5.06,8.90,7.69,8.81,14.31,12.00,11.51,20.11
65,8,15,10.79,65.30,65.30,10.35,83.665522,84.054811,84.054811,83.816796,3540.61,3836.25,3836.25,3660.49,2.97,7.58,7.58,3.88,2.97,7.58,7.58,3.88,22.44,23.75,23.75,22.43,5.17,12.50,12.50,5.19,16.94,0.00,0.00,14.52
65,8,15,7.61,12.48,13.10,7.80,79.878832,120.038417,120.048729,66.530527,4511.16,5753.76,5649.49,4720.12,4.96,6.58,7.71,2.98,4.96,6.59,7.71,2.98,22.42,23.77,23.75,22.57,5.21,12.71,12.50,6.39,13.85,1.14,0.00,18.49
65,6,12,7.86,8.40,8.40,10.50,81.829106,81.912373,81.912373,81.887522,3305.06,4696.13,4696.13,2380.27,2.68,4.81,4.81,3.70,2.69,4.81,4.81,3.70,23.89,24.42,24.42,23.70,6.59,14.51,14.51,4.95,16.71,17.03,17.03,12.57
65,6,12,7.99,18.09,18.09,13.34,77.984006,78.483271,78.483271,78.299765,3551.49,3572.00,3572.00,2535.48,0.94,5.71,5.71,1.85,0.94,5.71,5.71,1.85,24.19,24.58,24.58,23.82,7.88,16.67,16.67,6.01,19.59,0.00,0.00,15.97
65,6,12,7.69,8.15,8.15,6.98,91.054636,107.846213,107.846213,107.682474,4619.74,5834.16,5834.16,5132.29,0.91,4.82,4.82,3.67,0.91,4.82,4.82,3.67,24.04,25.74,25.74,24.27,7.72,21.44,21.44,9.36,22.05,16.31,16.31,17.82
65,6,12,8.26,11.56,11.56,9.24,98.843442,98.950083,98.950083,98.912287,3478.49,4451.21,4451.21,3208.65,0.90,4.74,4.74,3.64,0.90,4.74,4.74,3.64,29.83,30.45,30.45,29.96,5.50,11.62,11.62,6.14,17.42,15.88,15.88,13.85
65,6,12,6.15,289.23,289.23,8.07,106.718769,107.144876,107.144876,106.965063,4721.39,4917.00,4917.00,3816.77,1.00,5.61,5.61,2.88,1.00,5.61,5.61,2.88,29.84,30.33,30.33,29.61,6.41,15.56,15.56,5.26,18.38,1.91,1.91,14.31
