hosts,vms,cloudlets,enc_time,enc_fitness,enc_cpu_util,enc_ram_util,enc_bw_util,enc_power,enc_cpu_mean,enc_cpu_std
50,50,1000,38.11,0.141070,37525.96,0.15,0.32,35.53,3.53,7.96
50,50,1000,77.84,0.143205,22197.61,0.08,0.16,35.37,2.45,4.82
50,50,1000,42.40,0.141806,34082.96,0.18,0.24,35.52,3.47,7.26
50,50,1000,80.57,0.142974,20800.07,0.08,0.30,35.41,2.75,4.40
50,50,1000,61.74,0.143850,25195.27,0.09,0.32,35.44,2.94,4.99
50,50,1000,54.37,0.143536,28523.24,0.25,0.35,35.49,3.25,5.49
50,50,1000,91.79,0.143955,18836.97,0.08,0.13,35.35,2.33,3.76
50,50,1000,50.07,0.144061,29809.03,0.19,0.37,35.50,3.37,5.05
50,50,1000,42.54,0.141371,34760.65,0.16,0.35,35.48,3.19,8.08
50,50,1000,73.73,0.141725,21876.53,0.08,0.21,35.40,2.66,5.06
50,50,1000,33.17,0.142337,43008.51,0.17,0.38,35.59,3.97,8.61
50,50,1000,33.04,0.141623,42731.96,0.20,0.35,35.70,4.68,9.34
50,50,1000,50.34,0.142764,29602.94,0.12,0.19,35.43,2.85,6.37
50,50,1000,53.67,0.141105,28327.41,0.12,0.18,35.42,2.77,7.31
50,50,1000,33.04,0.139652,48208.11,3.22,3.32,35.63,4.21,9.96
50,50,1000,29.17,0.139901,52693.88,3.03,3.15,35.84,5.63,9.16
50,50,1000,56.65,0.140605,36157.55,2.24,2.31,35.71,4.72,6.89
50,50,1000,86.74,0.142770,29768.31,1.90,1.98,35.66,4.39,4.95
50,50,1000,39.10,0.139886,43873.05,2.57,2.74,35.53,3.56,9.89
