hosts,vms,cloudlets,enc_time,enc_fitness,enc_cpu_util,enc_ram_util,enc_bw_util,enc_power,enc_cpu_mean,enc_cpu_std
100,50,100,5.65,1.035835,65015.3,1.68,1.72,36.04,6.9,14.4
100,50,100,6.45,1.00134,55658.64,1.49,1.52,35.92,6.12,13.62
100,50,100,6.52,0.981134,65637.74,1.59,1.61,35.92,6.12,14.19
100,50,100,6.61,1.053106,56780.67,1.57,1.6,35.89,5.95,13.03
100,50,100,6.69,1.04116,61678.77,1.65,1.67,35.9,5.98,13.48
100,50,100,6.76,1.057891,58847.31,1.69,1.71,35.9,5.99,13.68
100,50,100,6.77,0.971643,55255.23,1.5,1.53,36.14,7.62,12.64
100,50,100,6.81,0.996799,61085.63,1.64,1.66,36.02,6.8,14.35
100,50,100,6.83,1.033658,51000.25,1.46,1.48,35.81,5.37,11.82
100,50,100,6.98,1.002097,55779.84,1.52,1.53,35.89,5.92,13.3
100,50,80,5.54,1.217968,51637.5,1.65,1.68,36.08,7.17,13.32
100,50,80,5.97,1.224285,48589.67,1.56,1.59,35.9,6.01,12.09
100,50,80,6.5,1.251985,49478.49,1.58,1.6,35.77,5.14,11.86
100,50,80,6.64,1.255918,43837.96,1.54,1.56,35.75,4.98,10.88
100,50,80,6.69,1.269927,44338.32,1.47,1.48,35.75,5.0,10.3
100,50,80,7.19,1.266616,42482.4,1.49,1.52,35.63,4.17,10.61
100,50,80,7.22,1.177226,46521.67,1.45,1.45,35.85,5.66,11.55
100,50,80,7.29,1.21936,49825.42,1.5,1.52,35.71,4.76,11.52
100,50,80,7.46,1.286335,39109.61,1.41,1.43,35.59,3.94,9.72
100,50,80,7.62,1.210626,47512.71,1.48,1.5,35.82,5.44,11.61
100,50,60,6.06,1.711766,29019.54,1.54,1.57,35.53,3.52,8.08
100,50,60,6.15,1.618857,35643.59,1.61,1.63,35.71,4.71,9.37
100,50,60,6.27,1.629293,32074.75,1.46,1.46,35.63,4.18,8.17
100,50,60,7.0,1.541904,36694.24,1.49,1.5,35.64,4.26,9.86
100,50,60,7.12,1.556884,33501.25,1.39,1.4,35.65,4.36,8.81
100,50,60,7.14,1.601778,29870.73,1.52,1.53,35.65,4.31,8.76
100,50,60,7.33,1.665657,29538.82,1.37,1.39,35.43,2.85,7.34
100,50,60,7.62,1.578449,28961.45,1.3,1.31,35.51,3.4,7.95
100,50,60,7.65,1.62507,27917.77,1.36,1.37,35.49,3.24,7.76
100,50,60,7.67,1.600189,29331.49,1.31,1.33,35.48,3.18,7.63
