hosts,vms,cloudlets,fwa_time,fwa_fitness,fwa_cpu_util,fwa_ram_util,fwa_bw_util,fwa_power,fwa_cpu_mean,fwa_cpu_std
100,50,100,6.62,0.969488,56852.34,1.5,1.52,36.04,6.93,13.99
100,50,100,6.21,0.953659,59035.63,1.59,1.61,36.2,8.03,15.55
100,50,100,6.92,0.979174,58491.85,1.53,1.56,35.92,6.16,13.98
100,50,100,8.66,0.968249,49637.79,1.36,1.38,35.74,4.92,12.77
100,50,100,7.12,0.966304,58187.5,1.53,1.55,36.03,6.89,14.93
100,50,80,7.95,1.215143,45504.27,1.44,1.46,35.7,4.66,11.37
100,50,80,7.64,1.203655,41039.77,1.41,1.43,35.73,4.87,10.3
100,50,80,7.54,1.220123,46238.31,1.51,1.53,35.71,4.72,11.65
100,50,80,7.38,1.196932,35717.56,1.35,1.38,35.61,4.09,10.28
100,50,80,6.46,1.197773,50251.45,1.55,1.57,35.91,6.1,12.48
100,50,60,6.33,1.496337,34347.08,4.41,4.43,35.64,4.28,8.83
100,50,60,6.33,1.557042,35528.49,1.49,1.51,35.77,5.13,9.49
100,50,60,8.6,1.536434,28784.5,2.4,2.42,35.6,4,8.55
100,50,60,7.09,1.483656,32190.96,4.41,4.43,35.65,4.35,8.88
100,50,60,9.76,1.527247,27274.92,2.29,2.31,35.49,3.29,7.95
100,50,60,7.30,1.531494,29371.96,2.38,2.40,35.62,4.10,8.63
100,50,60,6.10,1.540057,35173.91,2.52,2.55,35.71,4.76,9.72
100,50,60,8.73,1.515361,28439.29,3.39,3.41,35.53,3.52,8.36
100,50,60,7.79,1.516432,31182.04,2.35,2.36,35.66,4.41,8.28
100,50,60,7.45,1.567051,33797.42,1.43,1.45,35.62,4.16,8.70
