hosts,vms,cloudlets,par_time,par_fitness,par_cpu_util,par_ram_util,par_bw_util,par_power,par_cpu_mean,par_cpu_std,,,,
100,50,100,13.19,31.902522,32099.17,30.71,30.74,35.98,6.54,8.06,,45.36,32.87,43.884
100,50,100,14.79,32.171581,32845.37,20.84,20.87,35.7,4.66,9.42,,40.005145,38.8726748,39.5280736
100,50,100,35.78,39.607057,15660.98,40.59,40.63,35.37,2.45,2.07,,,,
100,50,100,56.3,38.922849,8382.72,46.64,46.63,35.3,2.01,0.13,,,,
100,50,100,51.79,41.462303,9382.19,45.62,45.6,35.31,2.09,0.63,,,,
100,50,100,41.28,46.002167,10996.83,42.56,42.66,35.31,2.1,0.78,,,,
100,50,100,58.83,40.1686,7346.26,48.61,48.63,35.3,2,0.04,,,,
100,50,100,70.59,42.51742,7017.76,49.66,49.62,35.3,2,0,,,,
100,50,100,55.25,45.433252,9093.77,46.67,46.64,35.31,2.05,0.36,,,,
100,50,100,55.8,41.863699,8197.61,43.6,43.6,35.31,2.04,0.36,,,,
100,50,100,13.01,32.979414,37119.99,13.02,13.03,35.67,4.46,10.03,,,,
100,50,100,39.08,40.662049,12946.09,44.58,44.61,35.35,2.31,1.48,,,,
100,50,100,25.7,39.066929,19100.62,36.64,36.64,35.47,3.13,3.5,,,,
100,50,100,31.57,36.914328,14165.93,42.54,42.66,35.46,3.06,1.86,,,,
100,50,100,58.87,39.171542,8046.81,44.66,44.66,35.32,2.13,0.75,,,,
100,50,100,40.79,42.499233,12347.18,41.64,41.62,35.34,2.26,1.37,,,,
100,50,100,41.91,38.257661,12299.58,45.65,45.65,35.33,2.2,1.54,,,,
100,50,100,33.77,45.157178,13898.56,45.57,45.62,35.38,2.53,1.5,,,,
100,50,100,22.54,38.817683,20135.44,40.65,40.65,35.52,3.46,2.46,,,,
100,50,100,21.46,35.200731,23165.37,32.68,32.7,35.48,3.17,3.54,,,,
100,50,100,35.36,37.278051,14995.58,30.68,30.71,35.36,2.39,2.38,,,,
100,50,100,37.76,41.210866,14459.88,42.55,42.62,35.35,2.34,1.65,,,,
100,50,100,54.89,38.843951,9080.01,47.63,47.67,35.3,2.02,0.17,,,,
100,50,100,60.51,39.406714,7893.48,49.62,49.61,35.3,2,0,,,,
100,50,100,30.9,40.900786,14594.61,43.65,43.63,35.37,2.5,1.29,,,,
100,50,100,2.62,1.361499,47497.96,2.42,2.44,35.46,3.04,5.80
100,50,100,2.09,1.370239,57707.91,2.89,2.91,35.60,3.98,7.97
100,50,100,2.36,1.371620,52734.32,2.59,2.62,35.52,3.47,7.06
100,50,100,2.41,1.370662,50708.44,2.59,2.61,35.42,2.80,7.10
100,50,100,2.21,1.368407,55465.61,2.76,2.78,35.55,3.65,6.95
