hosts,vms,cloudlets,par_time,par_fitness,par_cpu_util,par_ram_util,par_bw_util,par_power,par_cpu_mean,par_cpu_std
100,50,100,5.46,0.996112,62542.87,1.7,1.71,36.18,7.86,15.58
100,50,100,5.86,1.014534,65571.29,1.67,1.68,36.25,8.35,13.49
100,50,100,6.14,1.044161,57874.98,1.64,1.67,36.05,6.97,12.4
100,50,100,6.22,1.036981,59565.16,1.59,1.62,35.9,6.01,12.84
100,50,100,6.23,1.055009,53509.62,1.57,1.58,35.78,5.23,12.61
100,50,100,6.26,1.05941,59068.14,1.63,1.66,35.88,5.87,12.83
100,50,100,6.26,1.009289,61467.76,1.61,1.63,36.01,6.73,13.97
100,50,100,6.42,0.964518,58628.33,1.62,1.64,36.23,8.19,14.21
100,50,100,6.69,0.995397,62265.63,1.56,1.58,35.91,6.04,14.01
100,50,100,6.74,0.979049,59023.33,1.54,1.55,35.95,6.35,14.24
100,50,80,5.55,1.210975,58840.42,1.66,1.68,35.93,6.21,13.51
100,50,80,6.23,1.301267,48822.69,1.64,1.66,35.73,4.84,11.16
100,50,80,6.36,1.215338,49036.71,1.51,1.52,35.9,6.0,11.97
100,50,80,6.39,1.248609,46746.13,1.46,1.5,35.74,4.97,10.94
100,50,80,6.4,1.205474,49309.25,1.51,1.53,35.82,5.45,11.7
100,50,80,6.43,1.2228,44754.06,1.53,1.54,35.96,6.4,11.46
100,50,80,6.66,1.221189,43337.11,1.47,1.49,35.69,4.63,11.13
100,50,80,7.14,1.240328,46916.9,1.5,1.52,35.69,4.61,11.07
100,50,80,7.32,1.237003,40542.19,1.42,1.43,35.69,4.6,9.91
100,50,80,7.53,1.26716,32329.45,1.42,1.44,35.59,3.92,9.6
100,50,60,6.14,1.54106,35373.41,1.45,1.47,35.67,4.48,9.62
100,50,60,6.19,1.604883,40474.83,1.66,1.69,35.67,4.44,10.25
100,50,60,6.4,1.639511,33063.27,1.42,1.44,35.52,3.46,8.24
100,50,60,6.88,1.550754,37447.38,1.52,1.55,35.76,5.06,9.39
100,50,60,6.95,1.56207,35575.08,1.48,1.51,35.66,4.38,9.41
100,50,60,6.97,1.629006,32319.0,1.45,1.47,35.5,3.33,8.25
100,50,60,7.24,1.528287,36474.0,1.44,1.46,35.72,4.81,9.49
100,50,60,7.58,1.586862,33568.55,1.4,1.42,35.53,3.53,8.55
100,50,60,7.64,1.612422,30452.83,1.4,1.41,35.5,3.36,8.39
100,50,60,7.67,1.538364,32553.38,1.3,1.32,35.56,3.74,8.28
