hosts,vms,cloudlets,seq_time,seq_fitness,seq_cpu_util,seq_ram_util,seq_bw_util,seq_power,seq_cpu_mean,seq_cpu_std,,,,,
100,50,100,25.23,36.638199,19143.8,42.6,42.63,35.5,3.31,2.93,,,,37.80769263,32.758125
100,50,100,39.94,39.980365,12392.2,42.67,42.67,35.35,2.37,1.63,,,,,
100,50,100,43.57,40.832509,11965.54,44.63,44.6,35.33,2.19,1.12,,,,,
100,50,100,22.59,37.640292,20218.04,36.65,36.66,35.43,2.86,2.78,,,,,
100,50,100,16.26,34.086898,32855.26,27.74,27.74,35.58,3.88,6.59,,,,,
100,50,100,32.55,35.814255,18062.7,41.6,41.62,35.38,2.52,2.31,,,,,
100,50,100,55.28,43.219301,8615.36,49.69,49.64,35.3,2,0,,,,,
100,50,100,42.75,37.081975,12779.53,46.63,46.62,35.35,2.33,1.22,,,,,
100,50,100,32.25,41.689749,14108.4,44.58,44.63,35.38,2.53,1.22,,,,,
100,50,100,33.01,40.013241,14189.31,40.65,40.69,35.39,2.59,1.84,,,,,
100,50,100,39.83,30.961155,15341.93,30.66,30.67,35.43,2.87,3.63,,,,,
100,50,100,41.99,37.172334,11767.58,41.66,41.67,35.32,2.13,1.56,,,,,
100,50,100,20.1,35.275357,23266.37,32.68,32.7,35.46,3.04,3.9,,,,,
100,50,100,11.23,35.006298,36881.99,26.78,26.78,35.71,4.71,8.38,,,,,
100,50,100,53.55,43.80878,8538.2,48.56,48.61,35.3,2.01,0.07,,,,,
100,50,100,14,35.702374,31133.94,26.75,26.78,35.62,4.14,7.36,,,,,
A,A,,,,,,,,,,,,,,
100,50,100,19.37,35.337343,27198.79,26.69,26.70,35.51,3.37,5.93
100,50,100,30.08,38.986963,14958.37,38.58,38.59,35.36,2.41,2.03
100,50,100,33.48,40.761268,13933.06,42.65,42.65,35.38,2.56,1.34
100,50,100,47.08,42.258493,10644.89,43.58,43.62,35.31,2.07,0.97
100,50,100,60.42,43.449332,8243.61,49.66,49.57,35.30,2.00,0.00
