hosts,vms,cloudlets,ga_time,seq_time,fwa_time,woa_time,ga_fitness,seq_fitness,fwa_fitness,woa_fitness,ga_cpu_util,seq_cpu_util,fwa_cpu_util,woa_cpu_util,ga_ram_util,seq_ram_util,fwa_ram_util,woa_ram_util,ga_bw_util,seq_bw_util,fwa_bw_util,woa_bw_util,ga_power,seq_power,fwa_power,woa_power,ga_cpu_mean,seq_cpu_mean,fwa_cpu_mean,woa_cpu_mean,ga_cpu_std,seq_cpu_std,fwa_cpu_std,woa_cpu_std
100,50,100,9.84,66.83,14.37,9.27,32.612598,38.754378,37.085035,30.700510,45877.78,6932.25,29965.38,47889.44,14.10,46.63,23.81,5.30,14.13,46.58,23.83,5.33,5.04,4.93,4.99,5.01,6.02,2.03,4.36,5.33,11.46,0.27,6.55,12.93
100,50,100,7.02,47.68,9.11,8.10,32.468335,37.362435,35.695136,29.076015,55085.66,10908.31,45459.82,49452.13,11.28,42.64,23.94,7.24,11.30,42.66,23.95,7.25,4.34,4.26,4.33,4.31,7.44,2.21,6.83,6.39,13.30,1.00,10.97,13.11
100,50,100,10.64,8.15,31.97,6.94,35.403531,35.210147,40.005028,31.811402,37743.91,46494.78,15472.43,49694.71,15.01,25.89,30.71,8.32,15.03,25.90,30.72,8.33,4.28,4.29,4.24,4.32,4.47,6.10,2.38,5.42,8.69,10.74,2.77,13.22
100,50,100,7.67,43.43,13.01,8.82,30.314979,39.383826,35.226142,28.478619,50201.49,12368.68,33090.03,50388.47,10.20,42.61,22.84,7.25,10.23,42.63,22.86,7.26,3.61,3.53,3.56,3.60,7.35,2.18,4.40,5.78,12.44,1.17,7.29,13.06
100,50,100,8.11,40.78,17.16,8.98,31.629318,40.449953,35.840867,27.293139,47787.46,11854.25,26115.27,50397.03,12.19,44.58,30.69,9.26,12.19,44.58,30.70,9.27,3.59,3.52,3.56,3.59,7.57,2.19,3.42,6.36,12.94,1.08,5.60,13.86
100,50,100,6.86,64.84,49.22,7.11,33.973586,40.464117,39.199867,31.261773,61434.11,7380.00,10551.23,59436.07,14.25,49.57,44.57,7.33,14.28,49.62,44.61,7.36,4.33,4.25,4.25,4.32,7.71,2.00,2.19,6.13,13.12,0.00,1.08,14.07
100,50,100,9.69,16.18,16.92,8.96,29.719603,31.929987,35.494323,27.797573,44730.62,29729.11,30801.24,49146.06,14.06,21.76,18.87,6.28,14.10,21.81,18.89,6.31,3.61,3.55,3.54,3.59,8.12,4.12,3.29,6.63,14.38,8.55,6.58,13.50
100,50,100,10.01,42.73,21.09,9.56,34.684876,41.579991,38.023562,31.180081,52300.84,11789.07,26181.98,64697.69,15.11,44.65,23.77,9.43,15.13,44.65,23.78,9.44,4.29,4.23,4.25,4.34,5.79,2.18,3.05,7.76,12.75,0.91,5.62,15.29
100,50,100,11.46,55.17,23.42,7.73,31.547143,38.021284,35.653924,29.013240,42852.61,10607.96,22746.82,58101.59,6.19,39.62,26.77,9.29,6.21,39.67,26.78,9.32,3.59,3.53,3.55,3.61,5.70,2.15,3.36,7.38,11.06,1.19,4.82,15.67
100,50,100,7.89,51.31,29.66,8.02,31.702032,41.822397,41.580962,28.438366,50960.82,9321.85,15561.36,52067.62,8.22,45.63,42.65,9.25,8.23,45.64,42.64,9.27,4.30,4.24,4.25,4.31,5.92,2.03,2.66,6.18,12.66,0.28,1.61,14.27
100,50,100,9.54,26.49,18.84,8.29,32.721472,34.472953,35.447219,29.252869,46838.74,18531.90,24987.95,53336.19,14.08,34.66,22.75,4.34,14.09,34.66,22.77,4.36,4.28,4.24,4.24,4.31,5.87,3.22,3.55,6.30,11.76,3.48,5.94,13.58
100,50,100,9.42,51.36,58.42,8.64,30.209625,36.456722,37.743788,27.519105,46944.81,10981.84,10511.78,48248.78,15.00,38.65,37.68,9.18,15.04,38.58,37.61,9.21,4.33,4.25,4.25,4.31,7.13,2.31,2.25,6.44,12.47,1.78,1.69,12.11
100,50,100,10.12,9.40,18.30,8.26,30.496813,31.301372,35.867976,27.422893,44835.03,42760.68,24715.70,47826.48,14.10,17.98,23.82,6.29,14.12,17.99,23.84,6.32,4.28,4.28,4.26,4.30,5.98,5.71,3.57,6.42,12.33,10.80,5.41,13.65
100,50,100,5.50,38.03,11.82,6.92,36.391608,42.227839,37.729586,33.310838,55839.16,11806.40,33492.53,50300.72,14.39,39.65,23.83,11.29,14.40,39.67,23.85,11.30,3.60,3.53,3.56,3.57,7.25,2.15,3.78,4.85,12.48,1.39,6.80,12.50
100,50,100,8.38,7.22,17.67,8.18,34.305048,35.700214,38.208694,30.414279,53372.65,51105.54,28776.64,50564.77,16.12,21.03,23.77,11.18,16.16,21.07,23.84,11.21,3.60,3.61,3.54,3.58,6.04,7.27,3.20,5.63,12.80,11.49,5.02,12.69
