hosts,vms,cloudlets,spk_time,spk_fitness,spk_cpu_util,spk_ram_util,spk_bw_util,spk_power,spk_cpu_mean,spk_cpu_std
100,50,100,6.58,1.038894,55850.32,1.57,1.61,35.97,6.47,12.23
100,50,100,7.24,0.950591,52065.0,1.54,1.56,36.07,7.13,14.95
100,50,100,7.27,0.994183,57259.39,1.49,1.51,36.0,6.69,12.0
100,50,100,8.48,0.964116,50699.66,1.36,1.37,35.85,5.65,10.99
100,50,100,8.52,0.985738,55902.88,1.49,1.51,35.9,5.98,12.65
100,50,100,8.55,1.014537,49585.8,1.38,1.4,35.71,4.72,9.39
100,50,100,8.57,1.020195,44811.38,1.35,1.38,35.68,4.56,9.35
100,50,100,8.62,1.015121,46078.1,1.34,1.37,35.72,4.79,9.35
100,50,100,8.88,1.039498,43785.52,1.41,1.44,35.7,4.68,9.55
100,50,100,9.2,1.013539,47102.74,1.32,1.38,35.69,4.61,9.25
100,50,80,6.97,1.27656,40165.31,1.39,1.42,35.68,4.52,9.69
100,50,80,7.06,1.276121,41182.79,1.45,1.47,35.82,5.48,8.62
100,50,80,7.4,1.208197,40757.31,1.44,1.47,35.75,5.03,11.12
100,50,80,7.44,1.285147,36897.89,1.35,1.37,35.67,4.43,7.61
100,50,80,7.6,1.26473,39054.19,1.37,1.38,35.71,4.75,8.71
100,50,80,7.76,1.262439,36678.42,1.33,1.36,35.71,4.74,7.81
100,50,80,8.3,1.243247,37253.65,1.32,1.35,35.64,4.24,8.39
100,50,80,8.74,1.251167,34269.49,1.31,1.35,35.63,4.18,7.57
100,50,80,8.77,1.304414,34498.25,1.36,1.38,35.64,4.25,7.26
100,50,80,8.87,1.281943,37187.75,1.36,1.37,35.63,4.2,7.63
100,50,60,5.87,1.677668,35611.27,1.69,1.71,35.71,4.74,9.05
100,50,60,6.27,1.534186,37685.37,1.44,1.46,35.67,4.45,9.35
100,50,60,6.62,1.571586,35500.22,1.42,1.44,35.7,4.67,8.2
100,50,60,6.92,1.565651,34231.04,1.37,1.38,35.54,3.57,8.67
100,50,60,7.03,1.56842,32390.07,1.41,1.44,35.65,4.36,8.33
100,50,60,7.27,1.543399,35004.02,1.41,1.42,35.59,3.96,8.9
100,50,60,7.54,1.630101,35236.17,1.57,1.6,35.62,4.14,9.1
100,50,60,8.09,1.627201,31423.48,1.37,1.41,35.54,3.58,7.77
100,50,60,8.27,1.62997,28839.45,1.36,1.38,35.46,3.09,7.46
100,50,60,8.34,1.563947,36403.83,1.43,1.44,35.62,4.16,8.79
