hosts,vms,cloudlets,wgoa_time,wgoa_fitness,wgoa_cpu_util,wgoa_ram_util,wgoa_bw_util,wgoa_power,wgoa_cpu_mean,wgoa_cpu_std
100,50,100,7.7,1.046452,53373.13,1.52,1.55,35.85,5.68,12.76
100,50,100,8.12,0.935464,42893.38,1.33,1.36,36.0,6.65,13.35
100,50,100,8.71,0.94868,56376.77,1.44,1.47,35.97,6.49,13.75
100,50,100,8.78,0.927404,48836.58,1.36,1.38,36.01,6.73,13.54
100,50,100,9.19,0.975708,46527.11,1.4,1.41,35.82,5.47,12.95
100,50,100,9.24,0.980104,48646.94,1.41,1.43,35.81,5.38,12.89
100,50,100,9.3,0.970027,49825.78,1.41,1.43,35.94,6.27,12.54
100,50,100,9.35,0.907948,53106.55,1.34,1.37,35.88,5.89,14.15
100,50,100,9.51,0.934911,48179.66,1.38,1.39,35.92,6.1,13.22
100,50,100,9.94,0.946848,50262.82,1.34,1.34,35.83,5.53,12.57
100,50,80,7.36,1.223689,41894.9,2.51,2.54,35.75,5.03,11.32
100,50,80,8.23,1.158564,38402.56,1.34,1.36,35.75,4.99,10.77
100,50,80,8.44,1.186713,40154.12,1.34,1.37,35.66,4.42,10.73
100,50,80,8.46,1.221311,49923.07,2.6,2.62,35.77,5.14,12.23
100,50,80,8.46,1.207055,39445.56,1.33,1.36,35.61,4.05,10.15
100,50,80,8.63,1.197521,46594.68,1.47,1.49,35.91,6.05,12.3
100,50,80,8.84,1.147567,40124.07,1.42,1.42,35.76,5.06,11.84
100,50,80,8.91,1.217509,31128.52,1.25,1.27,35.55,3.67,9.3
100,50,80,9.37,1.218877,40766.84,2.37,2.39,35.72,4.79,10.64
100,50,80,9.77,1.165982,36587.85,1.29,1.31,35.67,4.5,10.65
100,50,60,7.27,1.497229,32537.85,4.47,4.49,35.61,4.06,9.21
100,50,60,7.58,1.599219,29067.29,3.33,3.34,35.5,3.33,7.54
100,50,60,7.72,1.379983,39128.32,6.4,6.42,35.76,5.08,9.71
100,50,60,7.75,1.41644,32090.61,4.21,4.22,35.6,4.0,8.68
100,50,60,8.18,1.503778,32376.53,5.33,5.35,35.54,3.62,8.43
100,50,60,8.26,1.470574,33618.72,5.3,5.32,35.56,3.77,8.49
100,50,60,8.78,1.431131,31204.18,6.17,6.19,35.48,3.22,7.95
100,50,60,8.91,1.555034,26235.92,2.27,2.29,35.51,3.38,7.68
100,50,60,9.59,1.435823,29760.26,5.21,5.23,35.49,3.26,7.82
100,50,60,9.64,1.395802,30247.27,3.26,3.28,35.59,3.92,9.1
