hosts,vms,cloudlets,woa_time,woa_fitness,woa_cpu_util,woa_ram_util,woa_bw_util,woa_power,woa_cpu_mean,woa_cpu_std
100,50,100,6.53,0.9286,56712.17,2.5,2.53,36.41,9.38,14.74
100,50,100,7.09,0.926756,53512.46,2.42,2.45,36.06,7.03,14.2
100,50,100,7.46,0.937194,53382.69,1.44,1.46,36.11,7.37,14.14
100,50,100,7.54,0.929557,55308.87,1.51,1.54,36.17,7.8,14.82
100,50,100,9.08,0.926935,46333.15,1.3,1.33,35.93,6.2,13.32
100,50,80,7.31,1.15131,42885.19,2.39,2.42,35.81,5.38,11.8
100,50,80,8.55,1.118758,39702.27,3.3,3.32,35.79,5.27,11.19
100,50,80,6.99,1.110737,46874.1,4.46,4.48,35.89,5.95,12.97
100,50,80,7.86,1.132344,41314.25,2.33,2.35,35.93,6.2,11.45
100,50,80,7.51,1.11166,40123.52,4.27,4.3,35.71,4.76,10.68
100,50,60,8.74,1.304538,31017.84,9.17,9.19,35.59,3.95,8.45
100,50,60,7.31,1.323964,30980.55,8.23,8.25,35.71,4.75,9.09
100,50,60,7.63,1.357552,31838.63,7.26,7.28,35.64,4.27,8.77
100,50,60,9.46,1.332954,27798.44,8.13,8.15,35.54,3.63,7.86
100,50,60,7.12,1.347216,30055.63,8.22,8.24,35.55,3.69,8.49
100,50,60,7.09,1.390359,32740.51,6.35,6.37,35.68,4.56,9.49
100,50,60,8.69,1.332789,27767.38,8.20,8.21,35.59,3.92,8.20
100,50,60,6.75,1.341350,29485.82,8.31,8.33,35.67,4.45,9.01
100,50,60,6.93,1.309612,30708.25,8.24,8.26,35.73,4.87,9.80
100,50,60,8.18,1.370121,28756.42,7.26,7.28,35.59,3.95,8.58
100,50,160,9.05,0.600637,72514.76,1.46,1.49,36.28,8.53,18.07
100,50,160,9.68,0.602940,74266.11,1.48,1.50,36.35,9.03,18.80
100,50,160,6.79,0.609882,93365.25,1.74,1.78,37.08,13.86,22.85
100,50,160,8.16,0.607518,79308.68,1.53,1.57,36.46,9.74,19.77
100,50,160,7.30,0.605449,86606.73,1.66,1.69,36.73,11.55,21.51
50,50,100,2.68,1.341702,43638.85,3.36,3.40,35.36,2.43,6.10
50,50,100,3.26,1.349177,39134.70,2.22,2.26,35.45,3.02,6.17
50,50,100,2.62,1.365928,43626.74,2.43,2.46,35.44,2.91,6.58
50,50,100,2.29,1.360343,48806.38,2.66,2.69,35.76,5.05,7.90
50,50,100,2.28,1.371287,49706.46,2.66,2.69,35.57,3.80,8.12
50,50,100,2.95,1.314257,40946.59,4.19,4.22,35.35,2.34,6.06
50,50,100,2.41,1.369384,46732.20,2.57,2.61,35.52,3.45,5.97
50,50,100,3.38,1.358329,35799.33,2.05,2.08,35.32,2.17,4.51
50,50,100,2.88,1.356861,41427.68,2.33,2.36,35.48,3.23,5.64
50,50,100,3.34,1.343860,38598.80,2.22,2.25,35.49,3.28,6.88
100,50,100,2.80,1.309316,46004.29,3.33,3.35,35.59,3.95,7.81
100,50,100,2.49,1.311432,50959.40,3.55,3.57,35.56,3.75,7.70
100,50,100,3.38,1.318131,40700.81,2.17,2.19,35.49,3.27,6.38
100,50,100,2.61,1.321391,47782.96,2.46,2.48,35.93,6.22,9.45
100,50,100,2.41,1.312838,50921.60,2.61,2.63,35.90,5.97,9.28
100,50,100,2.97,1.338213,44405.07,2.30,2.32,35.46,3.04,7.64
100,50,100,2.94,1.297446,43158.07,3.27,3.29,35.52,3.45,8.07
100,50,100,2.68,1.339390,48911.50,2.52,2.55,35.59,3.93,8.32
100,50,100,3.21,1.308201,40643.48,2.20,2.23,35.55,3.68,7.31
100,50,100,3.16,1.306870,46049.29,3.32,3.34,35.44,2.95,6.90
